n,epsilon,instance_seed,repetitions,valid_results,all_valid,min_time_s,max_time_s,mean_time_s,sample_std_s,ci_half_width_s,ci_ratio,ci_target_met
25,0.1,31000,8,8,True,0.004065416986122727,0.004244792013196275,0.004134718750719912,6.809429735822736e-05,4.5611922532088164e-05,0.011031445010412495,True
50,0.1,56000,40,40,True,0.022940583003219217,0.08086083401576616,0.031544173899601444,0.01696437979211027,0.004519347214037066,0.14327042541742288,False
75,0.1,81000,25,25,True,0.057826042000669986,0.1186955840094015,0.08798860836075618,0.025588078614131832,0.008755637032046364,0.09950875681710937,True
100,0.1,106000,8,8,True,0.028976625006180257,0.029844333010260016,0.029490218625142006,0.0002895038589937052,0.00019391972751688888,0.006575730413594215,True
125,0.1,131000,8,8,True,0.28958995899301954,0.4315048750140704,0.3224618490021385,0.04693443596698628,0.0314383133458499,0.09749467555041344,True
150,0.1,156000,8,8,True,0.5351456250064075,0.622651291982038,0.5647189844967215,0.030891192276636052,0.020691992188910123,0.03664121936214144,True
175,0.1,181000,8,8,True,0.6767433749919292,0.8414102920214646,0.7469467653827451,0.05605405543020078,0.037546950817942196,0.050267237985430806,True
200,0.1,206000,8,8,True,0.35659224999835715,0.4220904159883503,0.39847685949280276,0.02342616751773672,0.015691659646938503,0.03937909886890665,True
250,0.1,256000,8,8,True,1.769002790999366,1.9602632090100087,1.890168609250395,0.06805848497988694,0.04558793415875993,0.0241184484472204,True
300,0.1,306000,8,8,True,1.7005738329899032,1.9248403329984285,1.7599403957501636,0.07660376723966891,0.051311860648485426,0.029155453657630302,True
